date,pollster,sample_size,BJP,INC,AAP,Others,days_ago,weight_time,weight_sample,weight_total
2024-02-05,C Voter,1360,42.67363341985543,24.93936773581501,13.689113591991312,24.272804548248008,70,0.0301973834223185,36.87817782917155,1.1136244758239386
2024-02-12,C Voter,1120,39.75116135653337,25.8155450960128,11.702447398690037,23.504112131668496,63,0.042852126867040166,33.46640106136302,1.4341064640647758
2024-02-19,C Voter,952,38.18024520720334,26.098356005852377,12.231923915610905,23.01521143727336,56,0.06081006262521795,30.854497241083024,1.8762639094998732
2024-02-26,C Voter,873,40.920369762414886,27.63725324133924,10.797598696306576,17.765354167192065,49,0.0862935864993705,29.546573405388315,2.5496797879178765
2024-03-04,C Voter,1027,38.44317295106744,23.658396556134026,11.93222821121744,21.617155865344564,42,0.1224564282529819,32.046840717924134,3.924341651109216
2024-03-11,C Voter,945,37.88274594645041,27.202236926934003,10.44263887219196,21.92617010990587,35,0.17377394345044514,30.740852297878796,5.3419591288300765
2024-03-18,C Voter,1433,39.42250533129129,26.6903646310073,14.339299670986708,21.28563351701818,28,0.24659696394160643,37.8549864614954,9.33492473145538
2024-03-25,C Voter,848,40.3713934542434,25.221391496798528,10.674479096170394,21.17963168174753,21,0.3499377491111553,29.120439557122072,10.190341071746747
2024-04-01,C Voter,927,39.023978718731925,25.12441080035489,12.115710611409972,19.997317902285022,14,0.49658530379140947,30.44667469527666,15.119371202992179
2024-04-08,C Voter,1102,35.06963029854923,25.786068047351694,13.255802038755055,21.4614506722286,7,0.7046880897187134,33.19638534539566,23.393097374613163
2024-04-15,C Voter,823,37.99534316851799,25.16147206768393,12.149888333664656,19.392675406171755,0,1,28.687976575562104,28.687976575562104
2024-02-05,Axis My India,1155,39.0603308359698,27.16590208630861,11.95409250485428,22.01547474660956,70,0.0301973834223185,33.98529093593286,1.02626686111141
2024-02-12,Axis My India,1400,38.74033277033173,27.425937141772582,9.762033367695052,24.511677742230205,63,0.042852126867040166,37.416573867739416,1.6033797703103492
2024-02-19,Axis My India,964,36.48868743840664,25.855663907273392,13.907310038473849,22.78879514940511,56,0.06081006262521795,31.04834939252005,1.8880520709687918
2024-02-26,Axis My India,1421,37.735824808629914,27.850214560387787,9.846997703459913,21.036575983698263,49,0.0862935864993705,37.69615364994153,3.25293629568479
2024-03-04,Axis My India,1331,33.26064039164603,28.60349613439901,10.2644214894504,22.40861832311022,42,0.1224564282529819,36.4828726939094,4.467562282504389
2024-03-11,Axis My India,1209,40.7481640609492,29.138316212642533,13.314164077679468,24.98958503343407,35,0.17377394345044514,34.77067730142742,6.042237711111925
2024-03-18,Axis My India,1096,39.4378649290326,26.53155998358218,12.68558222375007,22.3889827971379,28,0.24659696394160643,33.1058907144937,8.163812138776766
2024-03-25,Axis My India,1400,38.55665071263272,28.499312953138304,9.850525696375756,23.08815925707448,21,0.3499377491111553,37.416573867739416,13.093471638728007
